PROP_MAN 11.0
2017         0.000  14212800.000   1296000.000  M50 FT FPS SEC
 14221440.000    2986314.344126   18471761.896092   12033036.576741 -19686.595939  -6204.710979  14386.516681  907581.4
 14221680.000   -1789957.590967   16325457.138827   15002303.000773 -19871.321431 -11570.696085  10205.589301  907581.4
 14221920.000   -6435470.230086   12985938.990024   16871991.793897 -18603.969291 -16087.452631   5279.822352  907581.4
 14222160.000  -10610953.362217    8697866.792568   17505783.981440 -15978.515669 -19427.248245    -30.471402  907581.4
 14222400.000  -14011591.865479    3774650.638830   16857567.301163 -12186.303424 -21348.084705  -5338.254598  907581.4
 14222640.000  -16388882.780568   -1424199.017356   14974642.317431  -7502.567047 -21710.014659 -10256.701092  907581.4
 14222880.000  -17568608.401340   -6518915.895904   11994398.901510  -2267.517368 -20485.305078 -14426.307456  907581.4
 14223120.000  -17463698.830617  -11136916.204611    8134667.925794   3136.931285 -17761.468362 -17540.353623  907581.4
 14223360.000  -16081084.503172  -14940090.989810    3678139.592687   8314.354192 -13736.774759 -19368.700349  907581.4
 14223600.000  -13521557.802888  -17649912.406216   -1048322.647484  12883.892362  -8706.445236 -19775.773512  907581.4
 14223840.000   -9972559.288357  -19068272.927203   -5697849.031343  16509.043052  -3041.288737 -18731.758232  907581.4
 14224080.000   -5694240.611613  -19092298.941599   -9929530.861312  18924.432533   2841.298824 -16315.674914  907581.4
 14224320.000    -999853.083989  -17721612.673422  -13433789.122019  19955.512532   8510.001055 -12707.678803  907581.4
 14224560.000    3767598.698006  -15057758.368055  -15954992.463495  19530.066612  13552.056886  -8174.082588  907581.4
 14224800.000    8260464.818212  -11296144.484096  -17309725.657319  17681.598976  17602.567435  -3046.560780  907581.4
 14225040.000   12151501.870321   -6711467.205150  -17399610.094737  14545.386857  20369.427127   2302.118923  907581.4
 14225280.000   15157157.723420   -1637795.001638  -16218071.822722  10348.081534  21652.628332   7484.121645  907581.4
 14225520.000   17057771.729336    3555227.559061  -13850795.873885   5392.539512  21357.536035  12122.824867  907581.4
 14225760.000   17713544.707444    8488727.071884  -10469887.601796     37.657444  19502.573117  15878.964885  907581.4
 14226000.000   17075117.723246   12801946.057614   -6321901.092469  -5326.215513  16219.727515  18475.306500  907581.4
 14226240.000   15187816.864211   16178772.083071   -1710278.090939 -10305.293169  11747.098570  19718.298462  907581.4
 14226480.000   12188878.130822   18371408.936456    3026835.285871 -14532.452975   6412.355651  19514.323855  907581.4
 14226720.000    8297579.278381   19219066.681688    7541692.202842 -17695.571055    608.348420  17877.683462  907581.4
 14226960.000    3798964.803160   18660087.081139   11502995.079942 -19562.448947  -5237.271029  14930.170586  907581.4
 14227200.000    -977593.560577   16736219.714879   14620552.990577 -19997.847804 -10695.879669  10890.063174  907581.4
 14227440.000   -5682797.310142   13589039.554687   16666453.997654 -18971.759522 -15369.267703   6054.718474  907581.4
 14227680.000   -9972948.771042    9449173.997787   17491438.453146 -16560.419460 -18917.899643    778.163688  907581.4
 14227920.000  -13534835.735396    4619271.265197   17035447.921761 -12939.944534 -21084.581863  -4554.832837  907581.4
 14228160.000  -16108226.146017    -547959.224093   15331742.154375  -8373.098082 -21711.657207  -9555.805615  907581.4
 14228400.000  -17504613.810830   -5675084.691571   12504588.827209  -3191.457625 -20752.103371 -13859.303339  907581.4
 14228640.000  -17621115.667631  -10387192.843200    8760575.422265   2227.145051 -18274.089582 -17149.019066  907581.4
 14228880.000  -16448439.549808  -14339302.162454    4373860.550268   7485.411900 -14457.632986 -19181.837077  907581.4
 14229120.000  -14071999.235063  -17241971.176153    -333825.876029  12196.512834  -9582.768911 -19807.175590  907581.4
 14229360.000  -10665794.213571  -18882944.779641   -5017027.018378  16013.832691  -4008.561448 -18979.199504  907581.4
 14229600.000   -6479490.100870  -19142936.390279   -9332306.646928  18657.502913   1854.293282 -16760.510337  907581.4
 14229840.000   -1819689.084550  -18004260.505863  -12963833.565648  19935.880172   7575.388402 -13316.838760  907581.4
 14230080.000    2973001.861630  -15551577.733647  -15646580.996803  19758.686216  12737.594596  -8902.865007  907581.4
 14230320.000    7549013.264393  -11965017.610458  -17185327.552616  18141.612100  16967.083030  -3841.886643  907581.4
 14230560.000   11575036.620388   -7506639.773932  -17468330.020005  15203.450772  19958.787572   1497.922195  907581.4
 14230800.000   14757782.499908   -2501384.653701  -16475016.394822  11156.854444  21496.661184   6729.333029  907581.4
 14231040.000   16864833.831202    2686141.740146  -14277405.264555   6293.625276  21468.085300  11472.415522  907581.4
 14231280.000   17741445.707919    7677612.225918  -11035199.355670    965.645111  19872.280576  15380.683818  907581.4
 14231520.000   17322174.428528   12108210.391333   -6984714.785802  -4439.167220  16822.267264  18166.190625  907581.4
 14231760.000   15636255.700871   15653358.648639   -2422096.229683  -9524.559633  12538.618630  19621.633582  907581.4
 14232000.000   12806064.731189   18052947.226980    2318217.130426 -13915.680111   7334.805658  19637.544364  907581.4
 14232240.000    9038395.565992   19130977.881433    6888310.615694 -17288.520272   1593.737704  18211.894821  907581.4
 14232480.000    4609147.555005   18808774.397551   10952787.915612 -19394.933286  -4261.694208  15450.368726  907581.4
 14232720.000    -157315.500409   17110677.312908   14213778.569367 -20081.674738  -9801.557621  11557.755623  907581.4
 14232960.000   -4912344.572290   14161780.637153   16432816.186381 -19300.597855 -14621.331540   6820.969980  907581.4
 14233200.000   -9308586.744935   10178261.123992   17447959.276463 -17110.218284 -18370.924257   1586.804498  907581.4
 14233440.000  -13025050.732601    5451377.137625   17185213.211455 -13670.384991 -20778.284291  -3762.947764  907581.4
 14233680.000  -15790212.177540     326361.532761   15663740.039697  -9230.980636 -21668.341879  -8838.408008  907581.4
 14233920.000  -17401597.204755   -4822453.450351   12994496.736020  -4114.249647 -20975.092681 -13268.887930  907581.4
 14234160.000  -17740635.206118   -9618611.057693    9372482.129942   1306.899206 -18747.219936 -16729.101210  907581.4
 14234400.000  -16781711.697234  -13710984.472638    5062838.391158   6635.386253 -15146.126551 -18963.471353  907581.4
 14234640.000  -14594526.252650  -16799792.249540     381622.674251  11479.118797 -10435.837439 -19806.281355  907581.4
 14234880.000  -11339209.725026  -18659055.634710   -4327607.253242  15481.524714  -4963.336836 -19195.619315  907581.4
 14235120.000   -7254415.787509  -19153418.475070   -8719433.717106  18349.029181    868.012743 -17177.958317  907581.4
 14235360.000   -2639405.062830  -18248000.297621  -12472290.097891  19873.283707   6629.751894 -13904.164628  907581.4
 14235600.000    2168342.277833  -16010462.372043  -15312150.812612  19945.882084  11901.232603  -9616.762345  907581.4
 14235840.000    6818024.186231  -12605376.223094  -17032283.130519  18564.557963  16300.304060  -4630.322290  907581.4
 14236080.000   10970925.320444   -8281723.415380  -17507763.470422  15831.388063  19509.666901    692.126618  907581.4
 14236320.000   14324563.869703   -3354709.986341  -16704071.577000  11944.404561  21297.758126   5964.581274  907581.4
 14236560.000   16634191.327897    1816764.218800  -14679452.404724   7183.962863  21534.107707  10804.409273  907581.4
 14236800.000   17730408.270003    6855632.249386  -11580973.065867   1894.169761  20198.913600  14858.361009  907581.4
 14237040.000   17531789.003968   11393747.613845   -7634381.803881  -3540.224308  17386.192828  17828.141612  907581.4
 14237280.000   16051416.086614   15098781.500824   -3128102.182508  -8721.222391  13298.904801  19493.175050  907581.4
 14237520.000   13396525.295895   17698942.624183    1607671.872455 -13267.221999   8235.631939  19728.417863  907581.4
 14237760.000    9760992.684306   19003488.170662    6225385.614459 -16842.631822   2568.907937  18515.407019  907581.4
 14238000.000    5410997.548310   18917101.979476   10386134.689021 -19184.452199  -3283.859391  15944.121760  907581.4
 14238240.000     665090.138747   17446791.728921   13784918.095766 -20121.833364  -8892.830034  12205.136644  907581.4
 14238480.000   -4129495.435567   14700994.085653   16173085.439691 -19587.994353 -13847.865875   7574.342743  907581.4
 14238720.000   -8622445.749054   10881147.507522   17376319.342654 -17623.826983 -17788.779584   2391.290888  907581.4
 14238960.000  -12485746.234656    6266601.203678   17306932.296207 -14372.928828 -20430.043611  -2966.007885  907581.4
 14239200.000  -15437184.519073    1194363.877574   15969955.149969 -10071.259486 -21579.453240  -8107.302963  907581.4
 14239440.000  -17260729.349851   -3965102.229562   13462856.293939  -5031.143068 -21152.251861 -12657.144276  907581.4
 14239680.000  -17822339.806584   -8834625.822111    9968724.456634    380.411130 -19177.747744 -16281.754521  907581.4
 14239920.000  -17080099.519030  -13057772.539316    5743266.123506   5767.343841 -15798.678723 -18713.637144  907581.4
 14240160.000  -15087757.154155  -16325178.429394    1096298.699358  10733.515985 -11262.369336 -19772.461422  907581.4
 14240400.000  -11991092.999792  -18397687.085555   -3631124.905054  14913.143413  -5902.853069 -19380.057918  907581.4
 14240640.000   -8017141.787212  -19124230.929623   -8092173.673944  17999.364873   -115.363580 -17566.742057  907581.4
 14240880.000   -3457109.866368  -18452867.140035  -11960098.231903  19767.514783   5674.654882 -14468.303035  907581.4
 14241120.000    1355417.231534  -16434140.685678  -14952330.166233  20091.134814  11044.008090 -10314.544663  907581.4
 14241360.000    6069145.184167  -13216736.359305  -16850931.464751  18949.679134  15602.980316  -5410.685934  907581.4
 14241600.000   10340591.706031   -9036092.185585  -17517978.892572  16428.124351  19022.454345   -114.210729  907581.4
 14241840.000   13858660.340332   -4197105.099829  -16905080.743616  12709.612093  21055.900919   5190.645769  907581.4
 14242080.000   16366727.632197     947732.625224  -15056651.532453   8062.397493  21555.427313  10119.078750  907581.4
 14242320.000   17681044.286181    6023391.330501  -12106906.745762   2822.114274  20482.388387  14311.918884  907581.4
 14242560.000   17704300.214325   10659149.832578   -8270632.141780  -2630.566635  17911.461654  17460.989352  907581.4
